"Marca temporal","Age","Gender Identity ","Sexual Orientation","Where are you from? (place of birth)","Education","Employment","Favorite character","Least Favorite Character","Favorite race","How long have you been following the comic? (in years)","How long have you been part of TKGC? (in years)","Do you participate in other Twokinds fan communities (Discord, forums, etc)?","In general, how long have you been a part of Twokinds fan communities? (In years)","Do you identify as a furry or a member of the furry fandom?","Favorite chapter of the comic?","Least Favorite chapter of the comic?","If you are a patron of Thomas Fischbach's Patreon, what tier are you subscribed to?","If money were not an issue would you subscribe to Tom patreon. If so which tier?","How do you feel about the Sunday Sketches Tom does weekly?","How do you feel about colored sketches Tom does at the end each month?","Do you own any official Twokinds merchandise?","Do you follow Tom on Picarto?","Have you ever commissioned Twokinds-related art from artists other than Thomas Fischbach?","Have you ever made Twokinds fan art? (Drawings, Fanfiction, DIY, etc)","Any other artist you follow besides Tom? "
"2023/10/23 8:24:25 p. m. GMT-6","28","Cisgender Female","Demisexual","North America","Bachelor's Degree","Employed Full-time","Laura","Eric","Feline Keidran (Tigers, Cats, Lions)","14","6","No","6","No","0","0","Less than $5 (Custom pledge)","$10 USD","I like them","I like them","Prints or posters","Yes","No","Yes","Too many"
"2023/10/23 9:23:23 p. m. GMT-6","35","Cisgender Male","Heterosexual","North America","Bachelor's Degree","Employed Full-time","Natani","Alabaster","Canine Keidran (Wolves, Foxes, Dogs)","20","3","Yes","","Yes","","","$10 USD","Custom pledge","I like them","I like them","Books or Volumes;Prints or posters;Side comics;Digital Books/Volumes","Yes","No","No","dktorzi, feretta, fluff-kevlar, wouhlven, cladzie, black-kitten, luraiokun"
"2023/10/23 9:35:58 p. m. GMT-6","31","Cisgender Male","Heterosexual","Western Europe","High School Diploma","Unemployed","Windstraw","Rose","Cat Clans (mini cats)","6","3","No","5","No","8","21","I am not a Patron","I would not subscribe","I do not like nor dislike them","I dislike them","I do not own any official merchandise","No","No","Yes","No"
"2023/10/23 9:39:29 p. m. GMT-6","26","Cisgender Male","Heterosexual","North America","High School Diploma","Self-Employed","Kathrin","Mrs Nibbly","Feline Keidran (Tigers, Cats, Lions)","15","1","No","1","Yes","1","14","I am not a Patron","$10 USD","I love them","I love them","I do not own any official merchandise","Yes","No","Yes","Fluffkevlar "
"2023/10/23 10:04:15 p. m. GMT-6","23","Cisgender Male","Pansexual","North America","Bachelor's Degree","Employed Part-time","Rose","Eric","Canine Keidran (Wolves, Foxes, Dogs)","6","1","No","1","Yes","","","I am not a Patron","$10 USD","I love them","I love them","I do not own any official merchandise","Yes","No","No","Caytlin Vilbrandt"
"2023/10/23 10:34:39 p. m. GMT-6","30","Cisgender Male","Asexual","Western Europe","Bachelor's Degree","Employed Full-time","Reni","Alabaster","Basitins (Eastern, Western, Northern)","12","6","Yes","6","Yes","18","2","Less than $5 (Custom pledge)","$5 USD","I like them","I like them","I do not own any official merchandise","No","No","Yes","Heresey, Raizap, Rich Burlew, DaveB"
"2023/10/23 10:42:50 p. m. GMT-6","27","Non-binary","Asexual","Eastern Europe","Master's Degree","Employed Full-time","Natani","Alabaster","Basitins (Eastern, Western, Northern)","1","1","No","1","Yes","18","","$5 USD","$5 USD","I love them","I love them","Digital Books/Volumes","No","No","No","AzulCrescent, CommitStrip, Exocomics, Foxes in Love, Gam_Gyuls, IGDoods, Oglaf, PigeonComics, SH_4RK, The Beevs, Zach (Extra Fabulous Comics), doginacafe, paxiti, wereshiba, xkcd, y_r_k_4"
"2023/10/23 11:12:06 p. m. GMT-6","24","Cisgender Male","Heterosexual","North America","High School Diploma","Unemployed","Keith","None","Humans","3","3 ","Yes","3 ","No","","","I am not a Patron","$10 USD","I love them","I love them","I do not own any official merchandise","No","No","No","Lotus "
"2023/10/23 11:40:25 p. m. GMT-6","35","Cisgender Male","Bicurious","Eastern Europe","Some College","Employed Full-time","Reni","Clovis","Dragons","16","5","Yes","15","Yes","17","16","$10 USD","$10 USD","I love them","I'm indiferent to them","I do not own any official merchandise","Yes","No","Yes","Kameloh, W0lfmare, PurpleLemons, Fluffkevlar, Shoutingisfun, Feretta, Eric W. Schwartz, Rick Griffin, Mark Stanley, Jolly Jack, Caytlin Vilbrandt, ValSalia,  Aaron Neathery, Kazerad, Black-Kitten, Amocin, Daigaijin, Funkybun, Kabier, Jasonafex, Ratcha, Hattonslayden, Ruaidri, Hakya11, Tabuley, Zonkpunch "
"2023/10/23 11:43:38 p. m. GMT-6","20","Cisgender Male","Heterosexual (But bi-curious)","North America","High School Diploma","Employed Part-time","Reni","Clovis","Dragons","2","1","No","1","Yes","17","2","I am not a Patron","$10 USD","I love them","I love them","I do not own any official merchandise","Yes","Yes","Yes","Narikusha, JCtownsend"
