Marca temporal,Age,Gender Identity ,Sexual Orientation,Where are you from? (place of birth),Education,Employment,Favorite character,Least Favorite Character,Favorite race,How long have you been following the comic? (in years),How long have you been part of TKGC? (in years),"Do you participate in other Twokinds fan communities (Discord, forums, etc)?",Do you identify as a furry or a member of the furry fandom?,Favorite chapter of the comic?,Least Favorite chapter of the comic?,"If you are a patron of Thomas Fischbach's Patreon, what tier are you subscribed to?",If money were not an issue would you subscribe to Tom patreon. If so which tier?,How do you feel about the Sunday Sketches Tom does weekly?,Do you own any official Twokinds merchandise?,Do you follow Tom on Picarto?,Have you ever commissioned Twokinds-related art from artists other than Thomas Fischbach?,"Have you ever made Twokinds fan art? (Drawings, Fanfiction, DIY, etc)"
23/10/2024 22:16:57,29,Cisgender Female,Demisexual,North America,Bachelor's Degree,Employed Full-time,Laura,Eric,"Feline Keidran (Tigers, Cats, Lions)",15,7,No,No,,,I am not a Patron,$10 USD,I love them,Prints or posters,Yes,No,Yes
23/10/2024 22:17:40,32,Cisgender Male,Pansexual,North America,Bachelor's Degree,Employed Full-time,Mike,Eric,"Canine Keidran (Wolves, Foxes, Dogs)",16,2,Yes,Yes,16,9,$10 USD,$10 USD,I love them,"Books or Volumes, Side comics",Yes,No,Yes
23/10/2024 22:24:24,45,Cisgender Male,Heterosexual,North America,Some College,Self-Employed,Eric,Brahn,"Canine Keidran (Wolves, Foxes, Dogs)",18,9,Yes,No,8,14,I am not a Patron,$10 USD,I love them,Books or Volumes,Yes,No,Yes
23/10/2024 22:25:31,21,Cisgender Male,Bisexual,North America,High School Diploma,Unemployed,Keith,Eric,"Feline Keidran (Tigers, Cats, Lions)",4.5,3.8,No,Yes,11,1,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,No,No,No
23/10/2024 22:32:18,21,Transgender Female,idk,Eastern Europe,Some High School,Unemployed,Flora,"None","Canine Keidran (Wolves, Foxes, Dogs)",5,4,Yes,Yes,0,8,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:18:28,24,Genderfluid,Bisexual,North America,Some College,Unemployed,Reni,Roderick,"Canine Keidran (Wolves, Foxes, Dogs)",7,5,Yes,Yes,,,Less than $5 (Custom pledge),$10 USD,I like them,Prints or posters,Yes,Yes,Yes
24/10/2024 0:03:25,31,Cisgender Male,Heterosexual,Western Europe,Bachelor's Degree,Employed Full-time,Reni,Red,"Basitins (Eastern, Western, Northern)",14,7,Yes,No,18,6,Less than $5 (Custom pledge),$10 USD,I like them,I do not own any official merchandise,No,No,Yes
24/10/2024 1:08:31,64,Cisgender Male,Heterosexual,North America,Bachelor's Degree,Retired,Mike,Alabaster,"Canine Keidran (Wolves, Foxes, Dogs)",15,3,Yes,No,,,$10 USD,$10 USD,I like them,I do not own any official merchandise,Yes,No,No
24/10/2024 1:25:49,24,Cisgender Male,Asexual,North America,Some College,Unemployed,Tom,Mrs Nibbly,"Basitins (Eastern, Western, Northern)",7,7,No,Yes,,,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,No,No,No
24/10/2024 5:04:08,19,Non-binary,AroAce,Western Europe,High School Diploma,Employed Full-time,Madelyn (Maddie),"None","Canine Keidran (Wolves, Foxes, Dogs)",6,0.8,Yes,Yes,,,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,No,No
24/10/2024 5:19:17,18,Transgender Female,Homosexual,North America,Some High School,Employed Part-time,Raine,Eric,"Canine Keidran (Wolves, Foxes, Dogs)",1,1,No,Yes,21,5,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,No
24/10/2024 5:37:27,28,Non-binary,Asexual,Eastern Europe,Master's Degree,Employed Full-time,Natani,Alabaster,"Basitins (Eastern, Western, Northern)",2,1,No,Yes,,,$5 USD,$5 USD,I like them,Side comics,No,No,No
24/10/2024 5:50:38,20,Non-binary,Asexual,Eastern Europe,High School Diploma,Unemployed,Raine,Clovis,"Canine Keidran (Wolves, Foxes, Dogs)",3,2,No,Yes,15,0,I am not a Patron,$5 USD,I love them,"Books or Volumes, Prints or posters",Yes,No,No
24/10/2024 6:06:50,30,Male,Heterosexual,Western Europe,Bachelor's Degree,Unemployed,Laura,Natani,Humans,14,6,Yes,No,10,11,$10 USD,$10 USD,I like them,"Books or Volumes, Prints or posters, Digital Books/Volumes",Yes,Yes,Yes
24/10/2024 10:33:14,16,Transgender Female,Asexual,Western Europe,Some High School,,Mrs Nibbly,"None",Dragons,2,2,Yes,Yes,,,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,No,No,No
