Marca temporal,Age,Gender Identity ,Sexual Orientation,Where are you from? (place of birth),Education,Employment,Favorite character,Least Favorite Character,Favorite race,How long have you been following the comic? (in years),How long have you been part of r/twokinds? (in years),"Do you participate in other Twokinds fan communities (Discord, forums, etc)?",Do you identify as a furry or a member of the furry fandom?,Favorite chapter of the comic?,Least Favorite chapter of the comic?,"If you are a patron of Thomas Fischbach's Patreon, what tier are you subscribed to?",If money were not an issue would you subscribe to Tom patreon. If so which tier?,How do you feel about the Sunday Sketches Tom does weekly?,Do you own any official Twokinds merchandise?,Do you follow Tom on Picarto?,Have you ever commissioned Twokinds-related art from artists other than Thomas Fischbach?,"Have you ever made Twokinds fan art? (Drawings, Fanfiction, DIY, etc)"
23/10/2024 22:57:12,14,Cisgender Male,Heterosexual,Southern Europe,,,Keith,Clovis,Dragons,1,1,No,No,10,1,I am not a Patron,$10 USD,I like them,Books or Volumes,No,No,Yes
23/10/2024 22:59:56,,Cisgender Male,Pansexual,North America,Bachelor's Degree,Employed Full-time,Madelyn (Maddie),Clovis,"Feline Keidran (Tigers, Cats, Lions)",10,1,No,Yes,11,14,I am not a Patron,I would not subscribe,I do not like nor dislike them,I do not own any official merchandise,No,No,Yes
23/10/2024 23:02:19,30,Cisgender Male,Bisexual,Eastern Europe,Some College,Employed Full-time,Natani,Seraphina,Dragons,5,2,No,Yes,12,6,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,Yes,No,No
23/10/2024 23:02:22,25,Cisgender Male,Heterosexual,North America,Bachelor's Degree,Employed Full-time,Therie,Eric,"Feline Keidran (Tigers, Cats, Lions)",10,3,No,Yes,21,1,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,No
23/10/2024 23:18:57,23,Prefer not to say,Prefer not to say,North America,Bachelor's Degree,Employed Full-time,Adelaide,Roderick,"Feline Keidran (Tigers, Cats, Lions)",15,5,No,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,No
23/10/2024 23:20:43,16,Cisgender Male,Bisexual,Asia,Some High School,Unemployed,Zen,Alabaster,"Feline Keidran (Tigers, Cats, Lions)",1,0.5,No,Yes,21,1,I am not a Patron,$5 USD,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:20:53,20,Cisgender Male,Bisexual,North America,Bachelor's Degree,Employed Full-time,Madelyn (Maddie),Eric,"Basitins (Eastern, Western, Northern)",3,3,No,Yes,20,2,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,Yes
23/10/2024 23:21:11,,Cisgender Male,Idk??? ,North America,,Employed Part-time,Flora,Red,"Feline Keidran (Tigers, Cats, Lions)",0.5,0.5,No,Yes,10,6,I am not a Patron,$5 USD,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:24:22,25,Cisgender Male,Heterosexual,North America,Bachelor's Degree,Employed Full-time,Flora,Raine,"Feline Keidran (Tigers, Cats, Lions)",12,5,No,Yes,2,7,I am not a Patron,$10 USD,I like them,"Books or Volumes, Prints or posters, Side comics",Yes,Yes,Yes
23/10/2024 23:32:57,31,Cisgender Male,Pansexual,Western Europe,Some High School,Unemployed,Maeve,Roderick,"Canine Keidran (Wolves, Foxes, Dogs)",18,6,Yes,Yes,7,3,$5 USD,$10 USD,I love them,"Apparel, Books or Volumes, Prints or posters, Side comics, Digital Books/Volumes",No,Yes,No
23/10/2024 23:39:47,21,Cisgender Male,Asexual,"Oceania (Australia, New Zealand, Pacific Islands)",High School Diploma,Unemployed,Adira,Clovis,"Basitins (Eastern, Western, Northern)",2,2,No,Yes,15,6,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,No,No,No
23/10/2024 23:40:46,17,Cisgender Male,Heterosexual,Latin America and the Caribbean,Some High School,Employed Part-time,Keith,Eric,"Basitins (Eastern, Western, Northern)",3,3,Yes,No,18,3,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,No,No
23/10/2024 23:41:26,22,Cisgender Male,Heterosexual,North America,Trade School,Employed Full-time,Brutus,Masks,"Canine Keidran (Wolves, Foxes, Dogs)",5,2,No,Yes,,,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:44:49,30,Cisgender Male,Heterosexual,"Oceania (Australia, New Zealand, Pacific Islands)",Bachelor's Degree,Unemployed,Kathrin,Rose,Cat Clans (mini cats),14,3,No,No,18,5,$10 USD,$10 USD,I love them,"Books or Volumes, Prints or posters, Side comics, Digital Books/Volumes, Convention Sketch Commissions",Yes,No,Yes
23/10/2024 23:46:51,22,Transgender Female,Homosexual,Eastern Europe,High School Diploma,Employed Full-time,Reni,Eric,Dragons,2,0.8,No,Yes,,,I am not a Patron,I would not subscribe,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:47:45,18,Cisgender Male,Bisexual,North America,Some College,Unemployed,Keith,Mrs Nibbly,"Canine Keidran (Wolves, Foxes, Dogs)",0,0,No,No,14,1,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,No,No
23/10/2024 23:55:54,19,Cisgender Male,IDK,Eastern Europe,High School Diploma,Unemployed,Natani,Seraphina,Dragons,2,2,No,Yes,,,I am not a Patron,$10 USD,I do not like nor dislike them,I do not own any official merchandise,No,No,No
24/10/2024 0:07:51,44,Cisgender Male,Heterosexual,Western Europe,Bachelor's Degree,Employed Full-time,Adelaide,Brahn,"Basitins (Eastern, Western, Northern)",12,,Yes,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,No,No
24/10/2024 0:08:51,21,Cisgender Male,Heterosexual,Western Europe,High School Diploma,Employed Part-time,Flora,None,"Feline Keidran (Tigers, Cats, Lions)",0.8,0.7,No,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,Yes
