response,label,score
"Well first I'd have to find someone who's looking for a new furry webcomic to read that HASN'T found Twokinds yet...so yeah, impossible challenge much?",Very Negative,0.40729373693466187
"Voiced group read through. Did that with a couple of friends for a laugh and now they're all invested, was also really good fun.",Positive,0.9279792904853821
I would show them the first chapter and let them know that part of the appeal is that the story and art grow with the author over time.  ,Positive,0.8736336827278137
I'd start with showing them the first chapter of the comic and giving a synopsis of it.,Positive,0.8260958194732666
"""Check out this webcomic. Yes, the starting art is old and not great, but it gets WAY better, I promise.""",Positive,0.8070994019508362
"Some of  Tom's art - amazing BGs, emotional art, rarely ""questionable"" art, one of the newest pages, redraw of page 1/technically page 0; say the plot's cool; Tom's doing this since being a 13-14yo (~02/03) - the art at the start might not be the best, but gets better later on, ~Basitin Island arc",Positive,0.7760753035545349
I would Show them relativliy new Art first before the Main Comic ,Positive,0.6318216323852539
Show them the comic from the start.,Positive,0.617808997631073
a big disclaimer,Positive,0.6172106266021729
I'd show some recent art,Positive,0.6020927429199219
That's it's Markiplier's brother's comic and it's about important thematic ,Positive,0.5788548588752747
Yes,Positive,0.545457661151886
I'd show them Trace Sparing Laura art ,Positive,0.43310031294822693
One of the newer chapters and some of the standalone fully-colored arts,Positive,0.41783228516578674
I'd let them read it at their own pace and happily discuss it as they go! ,Positive,0.36620020866394043
"Introduce it as a introduction of furry webcomics. To start, read the archive summary before reading the first page, and optionally the casts section.",Neutral,0.9395610690116882
No idea. / Link the website. / All the sketches and color art to gauge interest.,Neutral,0.8834846615791321
"Drop the comic on them, sink or swim",Neutral,0.8779187798500061
Introduce the cast,Neutral,0.8502513766288757
The first and latest comic page,Neutral,0.8113641738891602
I’d show them “A Queer Reading of Twokinds” by the youtuber LeafBeetle,Neutral,0.746947169303894
Butts,Neutral,0.6081901788711548
I would share the link to the site,Neutral,0.6037365794181824
Sunday Sketches,Neutral,0.5831316709518433
"Show them a couple of the comic's latest pages, if they like the art I'd talk about its themes, why I like it and direct them to Tom's DeviantArt if they just want art or the comic itself if they want to read more",Neutral,0.5630297064781189
A funny comic about funny critters.  Patreon would be shown first.,Neutral,0.5336682200431824
Current chapter ,Neutral,0.4824705421924591
Unsure,Neutral,0.4819480776786804
Probably a side Comic? One of the magical mishaps or similar.,Neutral,0.3861209452152252
"No, I'm too scared to do so",Negative,0.8087742924690247
Probably would not try unless he was into similar media. In which case i would show them the boat arc.,Negative,0.691781759262085
"Probably one of the later pages because the art was pretty rough at first. If they're members of the furry fandom, I'm sure they'll quickly take a liking to it. Otherwise, it might be harder to convince them to read it.",Negative,0.6847562789916992
The easiest way would be to link them to the comic. But I would highly encourage them to catch a sketch stream before starting.,Negative,0.6773473024368286
"difficult to answer, but if I had to say - I'd show them some of my favorite moments, summarize the good parts without pulling any stereotypes, and present the first chapter while also letting them know that despite the number of pages it will hook them, and won't take long at all to catch up.",Negative,0.43708527088165283
Id first show them the Sunday sketches before the comic so they understand that the art style won’t stay… *rough*.,Negative,0.433225154876709
