response,label,score
"It's by far the most well-written, well-drawn, most deep and intricate furry webcomic I follow, and it doesn't resort to hardcore NSFW smut!",Very Positive,0.8407645225524902
It’s world building,Very Positive,0.4024222791194916
Fluffy animal people good,Positive,0.8966577649116516
Interesting characters and good art.,Positive,0.8730846643447876
"The diverse set of characters, they're well fleshed out.",Positive,0.8373327255249023
I enjoy the character designs.,Positive,0.8331075310707092
"Natani’s character arc of rediscovering and being more confident in his manhood, also the improvement on the way he’s written mirrors that of the comic itself ",Positive,0.8313806056976318
It has an amazing story and great art.,Positive,0.6842997670173645
Tom's beautiful artstyle developped over the years; when reading through the entire comic it feels not only like reading a story but also witnessing an artist's journey in self-improvement. It's what inspired me to keep trying to learn art.,Positive,0.6623852252960205
I love how the character grow over time and become more fleshed out. I have known these characters for years. ,Positive,0.5959717631340027
"A lot of things, but in general. How it makes me feel, I feel like I am with the characters in the good and the bad moments.",Positive,0.5408914685249329
The community,Positive,0.5041518807411194
Interesting characters and interactions,Positive,0.4428691565990448
The comic and characters ,Positive,0.4256693124771118
It's colorful in every way imaginable,Positive,0.42470797896385193
The characters and the interactions between them,Neutral,0.9309207797050476
Seeing a passion project evolve over time and how the creator's skills (writing/drawing/etc) improve,Neutral,0.9308789372444153
Interspecies relationships,Neutral,0.9216932058334351
The evolution of Tom’s art style over the years,Neutral,0.9202694892883301
humans and anthro coexisting,Neutral,0.9056406617164612
"The characterisation, effort, and narrative.",Neutral,0.9054533839225769
Evolution of Tom’s work as a writer and artist,Neutral,0.8874529600143433
"Currently, the quality of artwork. ",Neutral,0.8754969239234924
"How each character seemed to have their own story, and likely relates to real-world problems.",Neutral,0.8537397980690002
The Story since the Basitin Island arc,Neutral,0.8259567022323608
The ability to mix serious with silly.,Neutral,0.8246136903762817
Characters and artstyle,Neutral,0.8185647130012512
"Anthro character design, drawing style, character development, gender story and Nat's relationship with Keith ",Neutral,0.7791489362716675
The change over the years,Neutral,0.7276537418365479
The characters and their personal journeys towards self discovery and acceptance,Neutral,0.6923460960388184
It's high range of detailed characters,Neutral,0.6332588791847229
Butts,Neutral,0.6081901788711548
"Furries, also Keith, also Raine, also Laura",Neutral,0.5927963852882385
The world building ,Neutral,0.5519201159477234
I like the cast and how they're both funny yet they connect with real issues of discrimination and loneliness. I enjoy watching how Tom's art style evolved too. ,Neutral,0.4471971392631531
The characters,Neutral,0.4296816289424896
The art,Neutral,0.4075648784637451
The art,Neutral,0.4075648784637451
Art,Neutral,0.3938656151294708
Adira,Neutral,0.2835741937160492
"For better and worse, the fact that experientially there's nothing else quite like it",Negative,0.6888653039932251
"Hard to say, I like it's art styles, like the characters... idk, I just overall like Twokinds, it's hard to put into words",Negative,0.6433832049369812
"The story thus far which has me gripped and hungry for more, even as it frustratingly gets often sidetracked with the side characters distracting from the main cast's development too much - or constantly interrupting it. Or ruining it.",Negative,0.45007768273353577
