response,label,score
wonderful,Very Positive,0.592621386051178
Amazing,Very Positive,0.5345262289047241
Earnest,Very Positive,0.4668954610824585
furry-webcomic,Very Positive,0.3077701926231384
cute,Positive,0.8574392795562744
entertaining,Positive,0.817136824131012
Adolescent,Positive,0.7184045910835266
Furry One Piece (genuinely),Positive,0.6401021480560303
Interesting ,Positive,0.6308259963989258
Interesting,Positive,0.6308259963989258
Interesting,Positive,0.6308259963989258
Comforting,Positive,0.6296225786209106
Thoughtful,Positive,0.6187111139297485
Beautiful,Positive,0.5372666120529175
Engaging,Positive,0.4949067533016205
Adventurous ,Positive,0.4785633087158203
Long,Positive,0.413425475358963
Charming,Positive,0.3809449076652527
Home,Positive,0.367351233959198
Identity,Neutral,0.8145030736923218
Growth,Neutral,0.7910705208778381
Defining,Neutral,0.7904188632965088
Softcore,Neutral,0.7442919611930847
Butts,Neutral,0.6081901788711548
Furry,Neutral,0.5936018228530884
Webcomic,Neutral,0.5791710615158081
Special,Neutral,0.5523719191551208
SorryNoSingleWordCanDescribeTK,Neutral,0.5309453010559082
cocktail,Neutral,0.4891471862792969
Exciting ,Neutral,0.4740671217441559
Optimistic,Neutral,0.44817543029785156
Horny,Neutral,0.43928778171539307
Epic,Neutral,0.36195650696754456
Epic,Neutral,0.36195650696754456
Bazonkas,Neutral,0.35637152194976807
Chaotic ,Neutral,0.3555164337158203
Chaotic,Neutral,0.3555164337158203
long,Neutral,0.33887457847595215
Lewd,Negative,0.5014761090278625
Diverse,Negative,0.38158079981803894
