response,label,score
Other than how awesome the comic is? The group chat is full of so many awesome furs that I enjoy hanging out with!,Very Positive,0.7323718070983887
Hilarity,Very Negative,0.4580378234386444
I dunno. Ya'll wouldn't know what to do without my tails so let's hope I never lose whatever it is. ^_^,Very Negative,0.36078548431396484
It's a fun comic and I'm invested in the characters,Positive,0.9361543655395508
It's relatable,Positive,0.9177206158638
New still and enjoy the comic unfolding further,Positive,0.8934192061424255
I really enjoy the sketch suggestions - some community members are so creative!,Positive,0.810901403427124
Twokinds is important to me and I have friends here,Positive,0.8023231625556946
"For the comic, the story. For the community, the incredibly nice people that are part of it.",Positive,0.7862799167633057
The relaxed atmosphere in the community and the story itself ,Positive,0.7848826050758362
"I am too invested about the lives of these ficitonal animal people and i want to see where they end.

I also havemeet wonderfull people i love talking to",Positive,0.7397392392158508
I love the people I've met in the sense.,Positive,0.7134803533554077
"Wanting to know where the characters go next, and how friendly the community is!",Positive,0.7114877104759216
Nostalgia and how friendly and furry the community is.,Positive,0.6779431700706482
"New pages, sketches",Positive,0.6392214894294739
"I've put down roots here now, I'm staying",Positive,0.6325535774230957
"Comic - story and art, idk, I just like TK that's why I'm still around it.",Positive,0.6013073325157166
The friendly faces and interwoven string of connections I’ve made with people in the Discord ,Positive,0.5659055709838867
High quality art,Positive,0.5022193789482117
This community is my home.,Positive,0.5018280148506165
"Now that I've been in the community so long, it's mostly the community that I engage with, especially the artists. I'll catch a TK stream every now and then, but that seems to be secondary to being connected with the art community around it.",Positive,0.45963484048843384
"the story, my favorite characters, what I deeply desire to see for both, and what I want to share with other fans. besides it's part of my home on the internet - I can't be without it, ever.",Positive,0.45705732703208923
"Keith, Nat, and Natani (it’s mostly Natani, he started my queer awakening)",Positive,0.4505106806755066
Likeminded people who appreciate simlar things as I do,Positive,0.3719954192638397
Its people,Positive,0.36048227548599243
Comic: The characters and art. Community: n/a,Neutral,0.9171360731124878
Seeing where Tom’s taking the story and discussing it with fellow fans.,Neutral,0.8690586686134338
"The art, the story, the theorycrafting.",Neutral,0.6340741515159607
The arts and fans of twokinds ,Neutral,0.6276988983154297
Butts,Neutral,0.6081901788711548
The arts,Neutral,0.4927332401275635
Story ,Neutral,0.40091943740844727
It's constant streams and interaction within the community (like these forums),Negative,0.7803508639335632
This discord server,Negative,0.5722838640213013
The Discord server.,Negative,0.46381038427352905
